Stazione,Descrizione,Inquinante,Data,Media_Giornaliera,Ore_Disponibili,latitude,longitude
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-24,43.26521739130436,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-07-29,18.991304347826084,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-07,35.075,8,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-11,65.47826086956522,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-12,44.83043478260869,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-15,29.643478260869557,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-16,34.61739130434783,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-18,29.05652173913044,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-22,18.03913043478261,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-24,27.686956521739134,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-28,33.07391304347826,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-29,17.099999999999998,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-30,22.65652173913043,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-08-31,27.52173913043478,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-01,40.08695652173913,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-02,40.36086956521739,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-04,42.017391304347825,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-06,40.43043478260869,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-09,40.35909090909091,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-10,35.44347826086956,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-12,42.6,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,NO2,2025-09-15,37.452173913043474,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-01,351.17499999999995,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-02,42.60416666666668,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-03,17.65416666666667,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-04,21.779166666666665,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-05,22.279166666666665,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-06,19.724999999999998,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-07,31.033333333333328,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-08,37.27916666666667,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-09,25.249999999999996,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-10,44.99565217391304,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-11,25.704166666666662,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-12,6.8833333333333355,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-13,8.483333333333334,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-14,12.154166666666669,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-15,19.30909090909091,22,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-16,17.33333333333333,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-17,14.482608695652177,23,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-18,11.179166666666665,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-19,27.287499999999998,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-20,26.370833333333334,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-21,22.157894736842106,19,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-22,52.644444444444446,9,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-23,47.10833333333333,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-24,62.699999999999996,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-25,64.17916666666667,24,40.8536064,14.25115
IT0898A,NA06 MUSEO NAZIONALE,PM10,2025-01-26,49.025,24,40.8536064,14.25115
